[0.9999996354640416, 4.043609614695551E-7]
[2.392466086353906E-10, 0.9999850554286297]
[0.8040944657116488, 0.10409004330911527]
[0.14384924602539934, 0.6207257668337262]
[0.6149999783210462, 0.21578101689821402]
[0.027632301960885126, 0.8337707241351184]
[0.7728727113631931, 0.12088043920691566]
[0.28813145256072703, 0.46322166509802665]
[0.36440762482207234, 0.39633849414745037]
[0.16834780694613738, 0.5898154435145526]
[0.015556278566008275, 0.8752761215823284]
[0.06555379324268296, 0.743965768699399]
[0.6775896047663322, 0.1768418868312193]
[0.5955679743899314, 0.22846135268631731]
[0.4816626482585653, 0.3059812886755253]
[0.4669437096172038, 0.31666757831018555]
[0.8468974671629959, 0.07973007552352325]
[0.3419635255528467, 0.41522384168001214]
[0.20803929845242392, 0.5438871388256967]
[0.5174799662284927, 0.2806394940882616]
[0.17445523947710695, 0.5823220102885354]
[0.3903222027593602, 0.3817155952008797]
[0.8304783683573559, 0.08869446615850023]
[0.24691966519303524, 0.5030903020174847]
[0.8194198928096106, 0.09478221631290726]
[0.19044365729398613, 0.5636018895135295]
[0.3751792972732821, 0.3874814553424928]
[0.035714602932919726, 0.8110173471357175]
[0.09140674427551404, 0.697664946962917]
[0.22071869442211556, 0.530193386545081]
[0.637031549005669, 0.20185779292969044]
[0.269172220641521, 0.48118233136189364]
[0.011142320024002283, 0.8959235834892656]
[0.4960663340241545, 0.295680591734915]
[0.193182418268626, 0.5604754833239514]
[0.7284258771748513, 0.14741896807018906]
[0.39928533031023294, 0.36811047125529717]
[0.3056537606477161, 0.4538253848539961]
[0.10161499850289915, 0.6812293511677723]
[0.6947318763892477, 0.1664944281782672]
[0.11302372879588635, 0.663810838973953]
[0.9172908801904627, 0.04224724858531836]
[0.6603117553089489, 0.18740482923345433]
[0.8961553658992528, 0.05334541304778377]
[0.8609456239388366, 0.07232095594777813]
[0.25735149743892927, 0.49270230394079334]
[0.5303873840325939, 0.2717232881185376]
[0.45352437860087536, 0.32655815881845573]
[0.6558193375264403, 0.19017357371710986]
[0.07682172400235165, 0.7228522046522516]
[0.30705932528621543, 0.44587103056644106]
[0.8689434160474174, 0.0678289547926693]
[0.2337900353394014, 0.5164820486008319]
[0.9869869421584686, 0.006528083227609056]
[0.7625843508603518, 0.12673951796254154]
[0.970888813482922, 0.015456464416677721]
[0.7394494030193277, 0.14008788510322703]
[0.03038347366375055, 0.8256918000913551]
[0.4074621570918481, 0.36168325173975463]
[0.715988497416369, 0.15383928094725988]
[0.5823771244008916, 0.23686389651734244]
[0.4414853131358294, 0.33555683011004356]
[0.004061148947122756, 0.937885081987082]
[0.10513182529278142, 0.6757601469748895]
[0.043121511197731055, 0.7925163893146661]
[0.5541729402697898, 0.255572765455875]
[0.6400413528312601, 0.19997440972130312]
[1.8308743520334403E-4, 0.9880217173025335]
[0.21459178655706385, 0.5367598803579491]
[0.049992226833441664, 0.7764111317131934]
[0.041386415657591547, 0.796563928798663]
[0.7089706585415604, 0.15799631455532465]
[0.07739268137025224, 0.7218051821362745]
[0.33904298568053515, 0.41772636150348785]
[0.014418499768992371, 0.880103986019709]
[0.08621762207356723, 0.7063720480356508]
[0.057544090826541404, 0.7601171939620508]
[0.007835131292982578, 0.9114842477864834]
[0.9555363715900884, 0.022484807083839143]
[0.5676373824164792, 0.2500355863232829]
[0.31902646152391784, 0.4351760940706051]
[0.005258882343556592, 0.9275123194496738]
[0.7531699001096063, 0.132322244960771]
[0.5044086272783658, 0.2897830091899593]
[0.32847295749139804, 0.4268746926878655]
[0.416505549687947, 0.3546282256628622]
[0.0509289496377901, 0.7743261318333496]
[0.6998094343962927, 0.16345415373105626]
[0.5779201399107369, 0.23998482880495078]
[0.9664001908968425, 0.016943683018093132]
[0.43111686996767995, 0.3434054281060158]
[0.11929174781755283, 0.6546177626429686]
[0.23650520169062483, 0.5136824165004688]
[0.13841433617631735, 0.6279596560697182]
[0.26398298663954056, 0.4862077527658817]
[0.0021832272990644497, 0.9532754985692296]
[0.4205379171227567, 0.3515113760733493]
[0.7474007208622053, 0.13547701195545514]
[0.8815004636317266, 0.06111770962332664]
[0.44759463899501506, 0.33097524452875476]
