[1.1118938334701214, 2.679942715317146]
[2.5369111132228443, 0.5385780467126372]
[1.1320845860733675, 2.5120367069308887]
[1.1637643068513137, 2.403188812982235]
[1.1531917846719524, 2.44184879986114]
[2.109988451270109, 1.2091402113874272]
[1.3392323713672465, 2.1393800377544263]
[1.654535169796293, 1.6740775782459876]
[2.2805175365909793, 0.8024104304818083]
[1.7885737752021669, 1.3928652778230797]
[1.7382558521119444, 1.47002636656237]
[1.637647488884943, 1.7193949361841712]
[1.678581530481118, 1.6094147826997185]
[1.4860942781756319, 2.079073077619382]
[1.3810273811181073, 2.138655934107677]
[1.5069134043940495, 2.045647971591907]
[1.1825048519314452, 2.3473907388152755]
[1.3013093977561663, 2.148821588664233]
[2.179820736281388, 1.058610907231272]
[1.136369602087886, 2.499384249790683]
[1.7083179043856693, 1.5347595632946067]
[1.556207853671571, 1.944879320643212]
[1.5455906443274445, 1.969103570592135]
[1.4694620003737664, 2.0975073701901645]
[2.194227447962363, 1.020090128919329]
[1.9284229015054102, 1.338964378007062]
[2.08578814254244, 1.246695776651265]
[1.264048402297715, 2.1789770592667668]
[1.7645543424011159, 1.424452619087432]
[1.1972968117906668, 2.3066460649112024]
[1.2483941534198446, 2.1996266847697648]
[1.2834713028891864, 2.1603644443299554]
[1.2152647897946158, 2.261781755473687]
[1.757558188330166, 1.4369244321547743]
[1.6220921424279289, 1.7670015022790881]
[2.2128094233030513, 0.9722491889501952]
[2.380265778227645, 0.6150042867027959]
[2.425593823362872, 0.5677375420275977]
[1.8168101513165622, 1.3670935316843043]
[2.028891931312248, 1.3117401620219602]
[2.4174694247555744, 0.5743360621587194]
[1.8492502450644084, 1.3480695250716974]
[2.20291805927376, 1.0001404719500893]
[2.1602220903895657, 1.1053140699461093]
[1.9557848846958419, 1.3379470401327616]
[1.4330433383663417, 2.1274765658198938]
[2.4558385119570447, 0.5505612820797456]
[1.208970964781472, 2.2764375859185493]
[2.298063954491304, 0.763356035607811]
[2.0455101819800108, 1.2976786881216396]
[2.1454990129809404, 1.1358343690451072]
[2.3937840815723916, 0.5985226221861277]
[1.6478025598969057, 1.6906802925328495]
[1.8947985755927426, 1.3391763652639108]
[1.5200618166383675, 2.0236164375790975]
[1.2325731665897113, 2.2261111874915263]
[1.5793508348128504, 1.8827524347716196]
[1.8114375906443572, 1.3710013127065583]
[1.8828461980075595, 1.3408430483355125]
[1.6039847265886584, 1.815986930814637]
[2.5327502296554405, 0.5388153401618777]
[2.360079500841204, 0.6419202201152865]
[2.128061935078623, 1.1740089757249268]
[1.5304109812091262, 2.000382097276619]
[2.3241731328531063, 0.7067155264219076]
[2.129034775153054, 1.1719928544248577]
[2.462382232425503, 0.5491508871581106]
[2.4929817104654104, 0.5415279865378738]
[1.6078439850895418, 1.8075385517520917]
[1.187409713764954, 2.333219749139787]
[1.7233689457065469, 1.5019501127200654]
[1.6809201000180818, 1.6032854474516858]
[2.265134320921548, 0.8412612599374301]
[1.619082653330648, 1.7755963994496065]
[1.9752603030149063, 1.3349761311420036]
[2.236001136191808, 0.9158349302896354]
[1.5705440276478537, 1.908963374198605]
[1.8548483867999115, 1.3469172884243927]
[2.339355154874622, 0.6773586711365209]
[1.6938797131883558, 1.568130632734198]
[1.5923286320064856, 1.8508626273408584]
[1.72080959337474, 1.5067651437366663]
[1.693270509047907, 1.5687847268542712]
[2.4926143250821085, 0.5418172492486616]
[2.0705124683511786, 1.2693595876915813]
[2.1490016975587944, 1.1306675591470392]
[2.2608067686834277, 0.8501250485471766]
[1.4490794391259345, 2.1171633359798987]
[2.3306181224691107, 0.6936348127048173]
[2.223718134246222, 0.9475192094719066]
[1.2342004552341452, 2.2217414996832052]
[2.22555112839672, 0.9395965874955537]
[1.9910815272222204, 1.331699055040006]
[2.0100040747307415, 1.3231783641006234]
[1.5869125940564413, 1.8648451380398627]
[1.4086685744109813, 2.1359480431680464]
[2.079463625050354, 1.2560413316349468]
[1.410100633645737, 2.1349578141711754]
[2.305450828492022, 0.7469982100809494]
[2.168635666695857, 1.0848377888006895]
