[8.10629303482982E-12, 1.0000001657745194]
[0.9999955247679272, 9.218231700670678E-6]
[0.9585438014858776, 0.08119417365937834]
[0.7890652306781444, 0.3773763491782833]
[0.6729386713589178, 0.547153750681829]
[0.19755651948209527, 0.9609715752743735]
[0.9445740081032039, 0.10778031624562102]
[0.9887268257781037, 0.022419721884924672]
[0.26691098566988525, 0.9287586971887791]
[0.2510917033182401, 0.936953098768627]
[0.7296000042060115, 0.4676841158053903]
[0.2858387202781238, 0.9182963985569526]
[0.5887388109833092, 0.6533869017296472]
[0.8426219291952756, 0.2899886525662239]
[0.751122519668233, 0.4358152106834565]
[0.9743115142983257, 0.05071740142570331]
[0.21934159480707754, 0.9518894104038842]
[0.23152594336316196, 0.9463958847197531]
[0.7622512570663166, 0.4189733204610585]
[0.14859496283393653, 0.9779197213085352]
[0.3368080134970361, 0.886560551717328]
[0.35056870678184116, 0.8771017923405023]
[0.8189289690316885, 0.32935566835259344]
[0.655263036834885, 0.5706306137023311]
[0.8809529292992584, 0.22392226687012468]
[0.5377886637704143, 0.7107852620299833]
[0.938021246931872, 0.12011644039116842]
[0.12206112009157452, 0.9851012566525534]
[0.9818241199612338, 0.03602864766959266]
[0.8564923014938858, 0.26642118927402336]
[0.802254583565118, 0.3563879157362772]
[0.6352640179304866, 0.5964398777017123]
[0.4410084627908292, 0.8055116976477769]
[0.08465036190968828, 0.9928344522088424]
[0.7036878903729052, 0.5048235996231427]
[0.8672633692311599, 0.24785456668009323]
[0.811773628548522, 0.34102387914318794]
[0.8715135002812973, 0.24046451517012532]
[0.8938024609485641, 0.2011176960304224]
[0.5779826557509883, 0.6659362334107926]
[0.17088002093760218, 0.9708002122999259]
[0.6265571762056427, 0.6074272448417785]
[0.04625123651487556, 0.9978609925146205]
[0.8864885586719353, 0.21413835062517958]
[0.3158143434554147, 0.9002615242698522]
[0.49553811427937083, 0.7544421461193169]
[0.7768171741584414, 0.3965553799679657]
[0.3238964080759077, 0.8950913644929948]
[0.025858004217940156, 0.9993315156278021]
[0.5476170555799086, 0.70011579856699]
[0.5122257557285824, 0.7376250372707162]
[0.13655100199279924, 0.9813541015746383]
[0.7714856251578822, 0.4100087379337247]
[0.828048485036528, 0.31433602186765736]
[0.48399375650854437, 0.7657515049890394]
[0.7404796668175992, 0.4516900751109559]
[0.5271552453700195, 0.7221080091818887]
[0.6435875220729139, 0.5857962674991074]
[0.5017849380138818, 0.7482122349404458]
[0.6016765936146259, 0.6379855500330228]
[0.8374544385545752, 0.298670353632312]
[0.17604979543386717, 0.9690066513473934]
[0.06548338354715483, 0.99571208713835]
[0.8574846767036306, 0.2647202739955045]
[0.10408947310610672, 0.9891655314087814]
[0.5625853141801154, 0.6906391908369488]
[0.9051152872908013, 0.1807666339867373]
[0.6192446538713346, 0.6165362748972922]
[0.57107236096566, 0.6812465312957319]
[0.013552036017409896, 0.9998165373776757]
[0.7426542093104285, 0.4484650250911603]
[0.7189705735947225, 0.48308359190532985]
[0.45317491166447466, 0.7946326986547051]
[0.42163760032719466, 0.822222079520459]
[0.29989629783830796, 0.9100625833951449]
[0.30204228031279745, 0.9087706374461477]
[0.6484552764292879, 0.5795068809973947]
[0.831545104532929, 0.30853294959002514]
[0.4660772122376706, 0.7827723663543217]
[0.804435052898087, 0.35288455380458594]
[0.45467702424004125, 0.793268995788626]
[0.5541304638885528, 0.6929396415377514]
[0.38980534328953464, 0.8480519861548258]
[0.47906528187828246, 0.7704967416654898]
[0.09842108900304652, 0.9903134469149989]
[0.9305247069335266, 0.13412409490228086]
[0.6816043267038758, 0.5354157914917607]
[0.6867276863624289, 0.5284053435984065]
[0.38791474545229654, 0.8495223847722193]
[0.5739192641536728, 0.6748788525534286]
[0.9751449395428927, 0.04909270275282012]
[0.9246946231802642, 0.14494019439416175]
[0.47217732565475046, 0.7770488524769938]
[0.37719477052690176, 0.8577243040379204]
[0.5279856279368529, 0.7212315219714552]
[0.3622839226568678, 0.8687506163302672]
[0.058905436307703896, 0.9965302959295944]
[0.4014635579998664, 0.8388454699011737]
[0.3743378907923091, 0.8598728155844603]
[0.5104692070870899, 0.7394215132951438]
